"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","LIFEEXP65","MEN","YR","A","2000",16.9,
"AUT","LIFEEXP65","MEN","YR","A","2000",16,
"BEL","LIFEEXP65","MEN","YR","A","2000",15.6,
"CAN","LIFEEXP65","MEN","YR","A","2000",16.5,
"CZE","LIFEEXP65","MEN","YR","A","2000",13.7,
"DNK","LIFEEXP65","MEN","YR","A","2000",15.2,
"FIN","LIFEEXP65","MEN","YR","A","2000",15.5,
"FRA","LIFEEXP65","MEN","YR","A","2000",16.8,
"DEU","LIFEEXP65","MEN","YR","A","2000",15.8,
"GRC","LIFEEXP65","MEN","YR","A","2000",16.7,
"HUN","LIFEEXP65","MEN","YR","A","2000",13,
"ISL","LIFEEXP65","MEN","YR","A","2000",17.8,
"IRL","LIFEEXP65","MEN","YR","A","2000",14.6,
"ITA","LIFEEXP65","MEN","YR","A","2000",16.7,
"JPN","LIFEEXP65","MEN","YR","A","2000",17.5,
"KOR","LIFEEXP65","MEN","YR","A","2000",14.3,
"LUX","LIFEEXP65","MEN","YR","A","2000",15.5,
"MEX","LIFEEXP65","MEN","YR","A","2000",17.2,
"NLD","LIFEEXP65","MEN","YR","A","2000",15.4,
"NZL","LIFEEXP65","MEN","YR","A","2000",16.4,
"NOR","LIFEEXP65","MEN","YR","A","2000",16.1,
"POL","LIFEEXP65","MEN","YR","A","2000",13.5,"B"
"PRT","LIFEEXP65","MEN","YR","A","2000",15.4,
"SVK","LIFEEXP65","MEN","YR","A","2000",12.9,
"ESP","LIFEEXP65","MEN","YR","A","2000",16.6,
"SWE","LIFEEXP65","MEN","YR","A","2000",16.7,
"CHE","LIFEEXP65","MEN","YR","A","2000",17,
"TUR","LIFEEXP65","MEN","YR","A","2000",13.4,
"GBR","LIFEEXP65","MEN","YR","A","2000",15.8,
"USA","LIFEEXP65","MEN","YR","A","2000",16,
"BRA","LIFEEXP65","MEN","YR","A","2000",15.7,
"CHL","LIFEEXP65","MEN","YR","A","2000",15.7,
"EST","LIFEEXP65","MEN","YR","A","2000",12.7,
"ISR","LIFEEXP65","MEN","YR","A","2000",17,
"RUS","LIFEEXP65","MEN","YR","A","2000",10.9,
"SVN","LIFEEXP65","MEN","YR","A","2000",14.2,
"LTU","LIFEEXP65","MEN","YR","A","2000",13.6,
"CRI","LIFEEXP65","MEN","YR","A","2000",17.4,
"COL","LIFEEXP65","MEN","YR","A","2000",15.3,
"BGR","LIFEEXP65","MEN","YR","A","2000",12.7,
"ROU","LIFEEXP65","MEN","YR","A","2000",13.4,
